,0
271,http://mmadecisions.com/decision/13712/Javid-Basharat-vs-Mateus-Mendonca
272,http://mmadecisions.com/decision/13710/Mateusz-Rebecki-vs-Nick-Fiore
273,http://mmadecisions.com/decision/13708/Dan-Argueta-vs-Nick-Aguirre
274,http://mmadecisions.com/decision/13691/Jared-Cannonier-vs-Sean-Strickland
275,http://mmadecisions.com/decision/13690/Arman-Tsarukyan-vs-Damir-Ismagulov
276,http://mmadecisions.com/decision/13685/Cory-McKenna-vs-Cheyanne-Vlismas
277,http://mmadecisions.com/decision/13684/Matthew-Semelsberger-vs-Jake-Matthews
278,http://mmadecisions.com/decision/13682/Rafa-Garcia-vs-Hayisaer-Maheshate
279,http://mmadecisions.com/decision/13681/Rinat-Fakhretdinov-vs-Bryan-Battle
280,http://mmadecisions.com/decision/13680/Manel-Kape-vs-David-Dvorak
281,http://mmadecisions.com/decision/13679/Sergey-Morozov-vs-Journey-Newson
282,http://mmadecisions.com/decision/13678/Magomed-Ankalaev-vs-Jan-Blachowicz
283,http://mmadecisions.com/decision/13677/Paddy-Pimblett-vs-Jared-Gordon
284,http://mmadecisions.com/decision/13648/Angela-Hill-vs-Emily-Ducote
285,http://mmadecisions.com/decision/13647/Clay-Guida-vs-Scott-Holtzman
286,http://mmadecisions.com/decision/13646/Michael-Johnson-vs-Marc-Diakiese
287,http://mmadecisions.com/decision/13645/Jonathan-Pearce-vs-Darren-Elkins
288,http://mmadecisions.com/decision/13644/Natan-Levy-vs-Genaro-Valdez
289,http://mmadecisions.com/decision/13635/Waldo-Cortes-Acosta-vs-Chase-Sherman
290,http://mmadecisions.com/decision/13632/Charles-Johnson-vs-Zhalgas-Zhumagulov
291,http://mmadecisions.com/decision/13631/Jennifer-Maia-vs-Maryna-Moroz
292,http://mmadecisions.com/decision/13630/Miles-Johns-vs-Vince-Morales
293,http://mmadecisions.com/decision/13629/Ricky-Turcios-vs-Kevin-Natividad
294,http://mmadecisions.com/decision/13628/Vanessa-Demopoulos-vs-Maria-Oliveira
295,http://mmadecisions.com/decision/13627/Brady-Hiestand-vs-Fernie-Garcia
296,http://mmadecisions.com/decision/13612/Andre-Petroski-vs-Wellington-Turman
297,http://mmadecisions.com/decision/13610/Karolina-Kowalkiewicz-vs-Silvana-Gomez-Juarez
298,http://mmadecisions.com/decision/13608/Montel-Jackson-vs-Julio-Arce
299,http://mmadecisions.com/decision/13597/Miranda-Maverick-vs-Shanna-Young
300,http://mmadecisions.com/decision/13594/Johnny-Munoz-vs-Liudvik-Sholinian
301,http://mmadecisions.com/decision/13568/Max-Griffin-vs-Tim-Means
302,http://mmadecisions.com/decision/13567/Waldo-Cortes-Acosta-vs-Jared-Vanderaa
303,http://mmadecisions.com/decision/13565/Khalil-Rountree-Jr.-vs-Dustin-Jacoby
304,http://mmadecisions.com/decision/13560/Cody-Durden-vs-Carlos-Mota
305,http://mmadecisions.com/decision/13556/Sean-OMalley-vs-Petr-Yan
306,http://mmadecisions.com/decision/13554/Beneil-Dariush-vs-Mateusz-Gamrot
307,http://mmadecisions.com/decision/13553/Manon-Fiorot-vs-Katlyn-Chookagian
308,http://mmadecisions.com/decision/13551/Caio-Borralho-vs-Makhmud-Muradov
309,http://mmadecisions.com/decision/13550/Nikita-Krylov-vs-Volkan-Oezdemir
310,http://mmadecisions.com/decision/13549/Abubakar-Nurmagomedov-vs-Gadzhi-Omargadzhiev
311,http://mmadecisions.com/decision/13548/Armen-Petrosyan-vs-A.J.-Dobson
312,http://mmadecisions.com/decision/13546/Karol-Rosa-vs-Lina-Lansberg
313,http://mmadecisions.com/decision/13545/Alexa-Grasso-vs-Viviane-Araujo
314,http://mmadecisions.com/decision/13542/Raphael-Assuncao-vs-Victor-Henry
315,http://mmadecisions.com/decision/13540/Mana-Martinez-vs-Brandon-Davis
316,http://mmadecisions.com/decision/13539/Jacob-Malkoun-vs-Nick-Maximov
317,http://mmadecisions.com/decision/13537/Piera-Rodriguez-vs-Sam-Hughes
318,http://mmadecisions.com/decision/13517/Yan-Xiaonan-vs-Mackenzie-Dern
319,http://mmadecisions.com/decision/13516/Randy-Brown-vs-Francisco-Trinaldo
320,http://mmadecisions.com/decision/13514/Raoni-Barcelos-vs-Trevin-Jones
321,http://mmadecisions.com/decision/13512/Mike-Davis-vs-Viacheslav-Borshchev
322,http://mmadecisions.com/decision/13510/Ilir-Latifi-vs-Aleksei-Oleinik
323,http://mmadecisions.com/decision/13490/Andre-Fili-vs-Bill-Algeo
324,http://mmadecisions.com/decision/13488/Rodrigo-Nascimento-vs-Tanner-Boser
325,http://mmadecisions.com/decision/13485/Trevin-Giles-vs-Louis-Cosce
326,http://mmadecisions.com/decision/13484/Loma-Lookboonmee-vs-Denise-Gomes
327,http://mmadecisions.com/decision/13483/Trey-Ogden-vs-Daniel-Zellhuber
328,http://mmadecisions.com/decision/13481/Javid-Basharat-vs-Tony-Gravely
329,http://mmadecisions.com/decision/13477/Daniel-Rodriguez-vs-Li-Jingliang
