,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
3,2,Thales Leites,0,1 of 8,12%,8 of 16,1 of 1,100%,0,0,2:07,1 of 8,0 of 7,0 of 0,1 of 1,1 of 6,0 of 0,0 of 2,http://www.ufcstats.com/fight-details/7291a111058dbf0e
4,3,Anderson Silva,0,28 of 43,65%,32 of 47,0 of 0,---,0,0,1:08,28 of 43,9 of 21,2 of 2,17 of 20,18 of 30,3 of 3,7 of 10,http://www.ufcstats.com/fight-details/7291a111058dbf0e
5,3,Thales Leites,0,4 of 13,30%,4 of 13,0 of 3,0%,0,0,0:00,4 of 13,1 of 8,0 of 1,3 of 4,4 of 13,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/7291a111058dbf0e
6,4,Anderson Silva,0,28 of 36,77%,29 of 38,0 of 0,---,0,0,0:17,28 of 36,7 of 12,2 of 3,19 of 21,27 of 35,0 of 0,1 of 1,http://www.ufcstats.com/fight-details/7291a111058dbf0e
7,4,Thales Leites,0,3 of 12,25%,3 of 12,0 of 2,0%,0,0,0:00,3 of 12,2 of 10,0 of 1,1 of 1,3 of 11,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/7291a111058dbf0e
8,5,Anderson Silva,0,22 of 30,73%,24 of 34,0 of 0,---,0,0,1:03,22 of 30,12 of 19,2 of 2,8 of 9,12 of 18,0 of 0,10 of 12,http://www.ufcstats.com/fight-details/7291a111058dbf0e
9,5,Thales Leites,0,1 of 13,7%,2 of 15,0 of 5,0%,0,0,0:00,1 of 13,0 of 10,1 of 3,0 of 0,1 of 13,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/7291a111058dbf0e
0,1,Sam Stout,0,23 of 81,28%,27 of 86,0 of 0,---,0,0,0:54,23 of 81,13 of 70,7 of 7,3 of 4,17 of 72,6 of 8,0 of 1,http://www.ufcstats.com/fight-details/de84ebe3b8cb8cd3
1,1,Matt Wiman,0,21 of 46,45%,22 of 47,2 of 4,50%,1,0,0:51,21 of 46,15 of 39,2 of 3,4 of 4,21 of 46,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/de84ebe3b8cb8cd3
2,2,Sam Stout,1,31 of 81,38%,35 of 89,0 of 0,---,0,0,0:55,31 of 81,13 of 58,13 of 15,5 of 8,29 of 73,0 of 1,2 of 7,http://www.ufcstats.com/fight-details/de84ebe3b8cb8cd3
3,2,Matt Wiman,0,15 of 38,39%,15 of 38,0 of 1,0%,1,0,0:25,15 of 38,8 of 29,3 of 4,4 of 5,14 of 37,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/de84ebe3b8cb8cd3
4,3,Sam Stout,0,8 of 24,33%,25 of 44,0 of 0,---,0,1,0:52,8 of 24,5 of 21,2 of 2,1 of 1,6 of 20,0 of 0,2 of 4,http://www.ufcstats.com/fight-details/de84ebe3b8cb8cd3
5,3,Matt Wiman,0,10 of 20,50%,24 of 34,2 of 6,33%,0,0,3:11,10 of 20,7 of 14,1 of 3,2 of 3,6 of 13,1 of 2,3 of 5,http://www.ufcstats.com/fight-details/de84ebe3b8cb8cd3
0,1,Mauricio Rua,1,24 of 32,75%,25 of 34,0 of 1,0%,0,0,0:26,24 of 32,14 of 22,2 of 2,8 of 8,13 of 21,4 of 4,7 of 7,http://www.ufcstats.com/fight-details/d29dd21d8881a0e0
1,1,Chuck Liddell,0,8 of 37,21%,8 of 37,1 of 1,100%,0,0,0:21,8 of 37,8 of 35,0 of 0,0 of 2,7 of 36,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/d29dd21d8881a0e0
0,1,Krzysztof Soszynski,0,3 of 11,27%,10 of 18,2 of 2,100%,2,0,1:47,3 of 11,0 of 5,2 of 4,1 of 2,3 of 9,0 of 2,0 of 0,http://www.ufcstats.com/fight-details/1f64e532f942ef57
1,1,Brian Stann,0,8 of 18,44%,14 of 24,0 of 0,---,0,0,0:09,8 of 18,4 of 13,1 of 1,3 of 4,4 of 13,4 of 5,0 of 0,http://www.ufcstats.com/fight-details/1f64e532f942ef57
0,1,Cheick Kongo,0,36 of 55,65%,45 of 64,1 of 2,50%,0,0,2:53,36 of 55,12 of 27,4 of 4,20 of 24,14 of 30,13 of 13,9 of 12,http://www.ufcstats.com/fight-details/bcba81de8f082768
1,1,Antoni Hardonk,0,8 of 18,44%,8 of 18,0 of 0,---,0,0,0:00,8 of 18,1 of 10,2 of 3,5 of 5,8 of 18,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/bcba81de8f082768
2,2,Cheick Kongo,0,17 of 29,58%,35 of 53,1 of 1,100%,0,0,2:07,17 of 29,12 of 24,5 of 5,0 of 0,2 of 3,0 of 0,15 of 26,http://www.ufcstats.com/fight-details/bcba81de8f082768
3,2,Antoni Hardonk,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,1 of 2,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/bcba81de8f082768
0,1,Luiz Cane,0,31 of 80,38%,31 of 80,0 of 0,---,0,0,0:13,31 of 80,25 of 74,6 of 6,0 of 0,27 of 74,4 of 6,0 of 0,http://www.ufcstats.com/fight-details/0bf025d86cc2a409
1,1,Steve Cantwell,0,25 of 57,43%,25 of 57,0 of 0,---,0,0,0:02,25 of 57,8 of 38,8 of 8,9 of 11,25 of 57,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/0bf025d86cc2a409
2,2,Luiz Cane,0,20 of 61,32%,20 of 61,0 of 0,---,0,0,0:00,20 of 61,13 of 52,5 of 7,2 of 2,19 of 60,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/0bf025d86cc2a409
3,2,Steve Cantwell,0,30 of 66,45%,30 of 66,0 of 0,---,0,0,0:00,30 of 66,21 of 57,4 of 4,5 of 5,29 of 65,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/0bf025d86cc2a409
4,3,Luiz Cane,0,36 of 82,43%,36 of 82,0 of 1,0%,0,0,0:00,36 of 82,28 of 72,8 of 10,0 of 0,36 of 82,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/0bf025d86cc2a409
5,3,Steve Cantwell,0,14 of 66,21%,14 of 66,0 of 0,---,0,0,0:00,14 of 66,8 of 56,4 of 6,2 of 4,14 of 66,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/0bf025d86cc2a409
0,1,Denis Kang,0,13 of 28,46%,30 of 46,2 of 2,100%,1,0,1:49,13 of 28,10 of 24,3 of 4,0 of 0,5 of 16,2 of 4,6 of 8,http://www.ufcstats.com/fight-details/154da5e0d8541508
1,1,Xavier Foupa-Pokam,0,12 of 28,42%,15 of 31,0 of 0,---,0,0,0:00,12 of 28,3 of 16,6 of 8,3 of 4,11 of 26,1 of 2,0 of 0,http://www.ufcstats.com/fight-details/154da5e0d8541508
